tipo_accion,tipo_usuario,nombre_tipo_usuario,tiempo_llegada,tiempo_espera,tiempo_servicio,tiempo_sistema,cajero,inicio_servicio,fin_servicio,replica
retiro,2,Lento,1.7309455924695474,0.0,3.856255580462432,3.856255580462432,0,1.7309455924695474,5.587201172931979,1
pago,2,Lento,3.8171174600142264,0.0,0.373893241586109,0.373893241586109,1,3.8171174600142264,4.1910107016003355,1
retiro,1,Normal,6.091179282972636,0.0,3.2566201137920943,3.2566201137920943,0,6.091179282972636,9.34779939676473,1
retiro,0,Rápido,6.431061164864529,0.0,2.4034394181249064,2.4034394181249064,1,6.431061164864529,8.834500582989435,1
retiro,1,Normal,11.784339231566047,0.0,0.05042891393314576,0.05042891393314576,0,11.784339231566047,11.834768145499194,1
retiro,3,Muy lento,12.569613804249377,0.0,3.180630316403526,3.180630316403526,0,12.569613804249377,15.750244120652903,1
pago,1,Normal,14.051822027008635,0.0,4.163805428623518,4.163805428623518,1,14.051822027008635,18.215627455632152,1
retiro,1,Normal,14.510268744643085,0.0,1.3496948506525668,1.3496948506525668,2,14.510268744643085,15.859963595295651,1
retiro,1,Normal,15.421335637440388,0.32890848321251553,1.7001884187301446,2.02909690194266,0,15.750244120652903,17.450432539383048,1
pago,3,Muy lento,16.92881520592494,0.0,2.261221446430944,2.261221446430944,2,16.92881520592494,19.190036652355886,1
retiro,1,Normal,19.071195455974788,0.0,0.9251857790318698,0.9251857790318698,0,19.071195455974788,19.99638123500666,1
retiro,2,Lento,20.669345074513753,0.0,7.106920585765025,7.106920585765025,0,20.669345074513753,27.776265660278778,1
retiro,2,Lento,22.315831336880514,0.0,1.6677491740424275,1.6677491740424275,1,22.315831336880514,23.98358051092294,1
retiro,1,Normal,23.387728421064473,0.0,0.002855799052473024,0.002855799052473024,2,23.387728421064473,23.390584220116946,1
retiro,2,Lento,25.616919617281667,0.0,3.5737666723473205,3.5737666723473205,1,25.616919617281667,29.19068628962899,1
pago,3,Muy lento,25.835287969411333,0.0,2.585816006983165,2.585816006983165,2,25.835287969411333,28.421103976394498,1
retiro,1,Normal,32.53844592120617,0.0,5.802598549185864,5.802598549185864,0,32.53844592120617,38.341044470392035,1
pago,2,Lento,38.06400728309573,0.0,0.7026974164092971,0.7026974164092971,1,38.06400728309573,38.76670469950503,1
retiro,1,Normal,40.77241453100713,0.0,1.3303840987084268,1.3303840987084268,0,40.77241453100713,42.10279862971556,1
retiro,1,Normal,41.55680019151176,0.0,0.7145471156246566,0.7145471156246566,1,41.55680019151176,42.271347307136416,1
retiro,1,Normal,42.74565186957203,0.0,2.982424401226692,2.982424401226692,0,42.74565186957203,45.728076270798724,1
pago,2,Lento,44.59771397837331,0.0,7.530202647041718,7.530202647041718,1,44.59771397837331,52.127916625415025,1
pago,3,Muy lento,51.04505810083177,0.0,19.59095987821671,19.59095987821671,0,51.04505810083177,70.63601797904848,1
retiro,3,Muy lento,52.01628384151459,0.0,2.583257068176733,2.583257068176733,2,52.01628384151459,54.59954090969133,1
pago,3,Muy lento,52.65295884113829,0.0,7.525943813710759,7.525943813710759,1,52.65295884113829,60.178902654849054,1
retiro,1,Normal,56.004430002813116,0.0,1.1162007890449,1.1162007890449,2,56.004430002813116,57.12063079185802,1
retiro,2,Lento,61.169355513928245,0.0,4.28779498669717,4.28779498669717,1,61.169355513928245,65.45715050062542,1
retiro,1,Normal,62.41337727698256,0.0,0.11419813191143333,0.11419813191143333,2,62.41337727698256,62.527575408893995,1
retiro,1,Normal,65.93917554525518,0.0,5.6880583684033725,5.6880583684033725,1,65.93917554525518,71.62723391365856,1
retiro,1,Normal,68.09185037956311,0.0,0.28421956707544754,0.28421956707544754,2,68.09185037956311,68.37606994663857,1
retiro,1,Normal,68.46336221104032,0.0,3.048633027792841,3.048633027792841,2,68.46336221104032,71.51199523883317,1
pago,0,Rápido,69.22402793246907,1.4119900465794046,0.6601932257325611,2.0721832723119658,0,70.63601797904848,71.29621120478103,1
pago,3,Muy lento,70.506273998792,0.7899372059890339,4.077877415543747,4.867814621532781,0,71.29621120478103,75.37408862032478,1
retiro,3,Muy lento,77.7029826436971,0.0,5.080908312393459,5.080908312393459,0,77.7029826436971,82.78389095609056,1
pago,1,Normal,79.8900468505034,0.0,4.948209873364535,4.948209873364535,1,79.8900468505034,84.83825672386793,1
retiro,0,Rápido,79.92622216262498,0.0,0.3306366418616322,0.3306366418616322,2,79.92622216262498,80.25685880448661,1
pago,0,Rápido,79.93447260919017,0.3223861952964455,1.6708887680107325,1.993274963307178,2,80.25685880448661,81.92774757249734,1
retiro,0,Rápido,80.09638737220295,1.8313602002943838,0.14452931570358868,1.9758895159979726,2,81.92774757249734,82.07227688820093,1
retiro,1,Normal,82.48242607945996,0.0,0.8050106181632404,0.8050106181632404,2,82.48242607945996,83.28743669762319,1
retiro,3,Muy lento,97.18415982236219,0.0,1.1061926953902907,1.1061926953902907,0,97.18415982236219,98.29035251775248,1
retiro,3,Muy lento,105.0201826907478,0.0,2.454413316695386,2.454413316695386,0,105.0201826907478,107.47459600744318,1
pago,3,Muy lento,108.78266801367465,0.0,14.424458489623504,14.424458489623504,0,108.78266801367465,123.20712650329816,1
retiro,1,Normal,109.43196764058789,0.0,0.25710459681126335,0.25710459681126335,1,109.43196764058789,109.68907223739915,1
pago,0,Rápido,110.54842123154582,0.0,0.222036765958227,0.222036765958227,1,110.54842123154582,110.77045799750404,1
retiro,1,Normal,110.94875114042745,0.0,1.4721682503650038,1.4721682503650038,1,110.94875114042745,112.42091939079245,1
retiro,1,Normal,113.62062340056052,0.0,0.34918876240866875,0.34918876240866875,1,113.62062340056052,113.96981216296919,1
retiro,1,Normal,114.57146357113089,0.0,0.46206380667944474,0.46206380667944474,1,114.57146357113089,115.03352737781033,1
pago,3,Muy lento,115.02358630425671,0.0,3.228538498226255,3.228538498226255,2,115.02358630425671,118.25212480248297,1
retiro,1,Normal,115.67039047444162,0.0,1.3935350165637663,1.3935350165637663,1,115.67039047444162,117.06392549100538,1
pago,2,Lento,118.82095700931283,0.0,4.527015007293969,4.527015007293969,1,118.82095700931283,123.3479720166068,1
pago,0,Rápido,120.18675750633815,0.0,8.771682283046776,8.771682283046776,2,120.18675750633815,128.95843978938493,1
retiro,1,Normal,122.41849344749556,0.7886330558025918,1.8010184815942056,2.589651537396797,0,123.20712650329816,125.00814498489237,1
